subj,task,trial,laterality,log_relative_power
1,ME,89,ipsi,0.4784786890228331
1,ME,90,contra,-0.8997154430183781
1,ME,90,ipsi,-0.7485247432784496
1,ME,91,contra,-0.7267599745664322
1,ME,91,ipsi,-1.0145811677793868
1,ME,92,contra,-0.6734266322806942
1,ME,92,ipsi,-0.045292432533532656
1,ME,93,contra,-0.41287489238489494
1,ME,93,ipsi,-0.5903819434816512
1,ME,94,contra,-0.6264162950386586
1,ME,94,ipsi,-0.47816604266966706
1,ME,95,contra,0.026764590933935573
1,ME,95,ipsi,-1.4718179354996477
1,ME,96,contra,-1.1859008237521886
1,ME,96,ipsi,-0.3588526716243752
1,ME,97,contra,-1.7567927038018105
1,ME,97,ipsi,-0.4013179790987101
1,ME,98,contra,-0.8365385237491048
1,ME,98,ipsi,-0.44327856018146017
1,ME,99,contra,0.2298125807422926
1,ME,99,ipsi,-0.7889688743479957
1,ME,100,contra,-1.24281975425474
1,ME,100,ipsi,0.7233110744476915
1,ME,101,contra,-0.8550781207386557
1,ME,101,ipsi,-0.7105602759349978
1,ME,102,contra,-1.2986358635907869
1,ME,102,ipsi,-0.41326597996774195
1,ME,103,contra,-0.3643769555403625
1,ME,103,ipsi,-0.25640589091586796
1,ME,104,contra,-1.7620014558401398
1,ME,104,ipsi,-0.21248108250138564
1,ME,105,contra,-0.9845323448190724
1,ME,105,ipsi,0.22203423726745153
1,ME,106,contra,-1.5986208500685741
1,ME,106,ipsi,-0.3092630673795472
1,ME,107,contra,0.20340266208093405
1,ME,107,ipsi,0.23476884692481093
1,ME,108,contra,-0.5617630922811622
1,ME,108,ipsi,0.1585451000589702
1,ME,109,contra,-0.509828075453633
1,ME,109,ipsi,-0.40480374560355264
1,ME,110,contra,-1.2394456858069485
1,ME,110,ipsi,-0.6152872012327719
1,ME,111,contra,-0.7728701486444687
1,ME,111,ipsi,-0.36421275073584647
1,ME,112,contra,-1.0801399501167088
1,ME,112,ipsi,0.27151668432625814
1,ME,113,contra,-0.7133394700321853
1,ME,113,ipsi,-0.1478161332056663
1,ME,114,contra,-0.7379695760907724
1,ME,114,ipsi,-0.17519976864065168
1,ME,115,contra,-1.3403217829491436
1,ME,115,ipsi,-0.47373971534241044
1,ME,116,contra,-1.2606524387843852
1,ME,116,ipsi,-2.0697110909504244
1,ME,117,contra,-0.7359436905066528
1,ME,117,ipsi,-0.7040345904298585
1,ME,118,contra,-1.554651497399369
1,ME,118,ipsi,-1.0267350302694984
1,ME,119,contra,-0.3502093200823965
1,ME,119,ipsi,-1.0137835954308847
1,ME,120,contra,-0.9694199565906951
1,ME,120,ipsi,-0.17664919382750385
1,ME,121,contra,-1.3584301850332925
1,ME,121,ipsi,-1.166827048270611
1,ME,122,contra,-0.792502676834708
1,ME,122,ipsi,0.12552370958630538
1,ME,123,contra,-1.0451383955980247
